Age,Gender,Major,MajorChange,AverageGrades,Absense,AdvideMentoring,Ethnicity,LanguageNative,FinancialSituation,FatherEducation,MotherEducation,MotherOccupation,FatherOccupation,MentalHealthStatus,PhysicalHealthStatus,FamilySupport,FamilyFinancialSupport,PeerSupport,AcademicActivities,ClubActivities,InternetUsageForStudy,OnlineToolsUsage,SocialMediaTime,FacilityQuality,TeachingQuality,RecentLifeEvent,LocalEconomicCondition,LocalCulturalLevel,PartTimeJob,PartTimeHours,Dropout
19,Nam,Ngành Khoa học Máy tính TROY,Không,1.6,Cao,6,Khác,Tiếng Anh,Khá tốt,Sau Đại Học,Đại Học,Lao động tự do,Công chức nhà nước,Tốt,Không tốt,Không,Không,Không,Có,Không,Có,Không,"Tôi không dùng thường xuyên, ít hơn 30' mỗi ngày",Rất tốt,Tốt,Không,Chưa tốt,Cao,Không,0,FALSE
19,Nữ,Chương trình Liên kết Du học Hoa Kỳ ASU 2+2,Có Chuyển Khi Nhập Học,2.7,Cao,2,Khác,Khác,Không tốt,Đại Học,Đại Học,Khác,Khác,Tốt,Tốt,Có,Có,Không,Có,Không,Có,Không,Nhiều hơn 2 tiếng,Rất tốt,Chưa hài lòng,Không,Chưa tốt,Trung Bình,Không,0,FALSE
18,Nữ,Ngành Khoa học dữ liệu,Có Chuyển Khi Nhập Học,1.8,Thấp,6,Kinh,Tiếng Việt,Khá tốt,Cao Đẳng,Thấp hơn,Nghỉ Hưu,Nội trợ,Tốt,Tốt,Có,Không,Không,Chưa bao giờ,Có,Có,Không,Nhiều hơn 2 tiếng,Rất tốt,Tốt,Có,Chưa tốt,Trung Bình,Có,6,FALSE
19,Nam,Ngành Quản trị Kinh doanh,Không,2.3,Cao,1,Khác,Tiếng Việt,Tốt,Đại Học,Cao Đẳng,Kinh doanh,Khác,Tốt,Tốt,Không,Không,Có,Có,Không,Có,Không,Trung bình 10 - 30 phút tôi kiểm tra một lần,Tốt,Rất tốt,Có,Tốt,Cao,Không,0,FALSE
19,Nữ,Ngành Việt Nam học,Không,1.9,Thấp,7,Khác,Tiếng Anh,Khá tốt,Cao Đẳng,Thấp hơn,Công chức nhà nước,Công chức nhà nước,Không tốt,Tốt,Có,Không,Có,Có,Không,Không,Có,"Tôi không dùng thường xuyên, ít hơn 30' mỗi ngày",Chưa tốt,Tốt,Có,Chưa tốt,Còn thấp,Có,4,TRUE
20,Nam,Chương trình Liên kết Du học Hoa Kỳ ASU 2+2,Không,2,Cao,3,Kinh,Tiếng Việt,Không tốt,Sau Đại Học,Đại Học,Kinh doanh,Khác,Tốt,Không tốt,Có,Có,Có,Chưa bao giờ,Không,Có,Không,"Tôi không dùng thường xuyên, ít hơn 30' mỗi ngày",Tốt,Tốt,Không,Chưa tốt,Cao,Không,0,TRUE
18,Nam,Ngành Công nghệ Sinh học,Có Chuyển Khi Hết Năm 1,1.1,Thấp,5,Kinh,Tiếng Việt,Tốt,Sau Đại Học,Cao Đẳng,Khác,Nghỉ Hưu,Không tốt,Tốt,Có,Có,Không,Chưa bao giờ,Có,Không,Không,Trung bình 10 - 30 phút tôi kiểm tra một lần,Tốt,Tốt,Không,Tốt,Trung Bình,Không,0,FALSE
18,Nam,Chương trình Liên kết Du học Anh Quốc 3+1,Có Chuyển Khi Hết Năm 1,1.9,Cao,3,Khác,Tiếng Việt,Tốt,Thấp hơn,Cao Đẳng,Lao động tự do,Kinh doanh,Tốt,Tốt,Có,Có,Không,Có,Có,Có,Có,Ít hơn 2 tiếng,Tốt,Chưa hài lòng,Có,Chưa tốt,Trung Bình,Không,0,TRUE
20,Nam,Ngành Kỹ thuật Điều khiển và Tự động hóa,Không,2.1,Thấp,1,Khác,Tiếng Anh,Không tốt,Cao Đẳng,Thấp hơn,Công chức nhà nước,Nghỉ Hưu,Không tốt,Tốt,Có,Không,Có,Chưa bao giờ,Không,Có,Không,"Tôi không dùng thường xuyên, ít hơn 30' mỗi ngày",Rất tốt,Chưa hài lòng,Có,Chưa tốt,Còn thấp,Không,0,FALSE
20,Nữ,Ngành Quan hệ Công chúng,Không,2.5,Thấp,4,Khác,Tiếng Anh,Không tốt,Sau Đại Học,Sau Đại Học,Nghỉ Hưu,Công chức nhà nước,Tốt,Không tốt,Có,Không,Có,Chưa bao giờ,Có,Không,Không,"Tôi không dùng thường xuyên, ít hơn 30' mỗi ngày",Tốt,Rất tốt,Không,Tốt,Còn thấp,Có,3,FALSE
19,Nam,Ngành Quản lý Tài nguyên và Môi trường,Có Chuyển Khi Hết Năm 1,2.2,Thấp,9,Kinh,Tiếng Việt,Khá tốt,Thấp hơn,Thấp hơn,Kinh doanh,Khác,Tốt,Tốt,Có,Có,Không,Chưa bao giờ,Có,Không,Có,Trung bình 10 - 30 phút tôi kiểm tra một lần,Chưa tốt,Tốt,Có,Tốt,Trung Bình,Không,0,FALSE
19,Nữ,Ngành Kỹ thuật Điều khiển và Tự động hóa,Có Chuyển Khi Hết Năm 1,2.7,Thấp,8,Kinh,Tiếng Việt,Không tốt,Thấp hơn,Cao Đẳng,Nghỉ Hưu,Khác,Tốt,Không tốt,Có,Không,Không,Có,Có,Có,Có,Ít hơn 2 tiếng,Rất tốt,Chưa hài lòng,Không,Tốt,Trung Bình,Có,6,FALSE
20,Nam,Ngành Công nghệ Chế tạo Máy,Có Chuyển Khi Nhập Học,2.1,Thấp,1,Kinh,Tiếng Việt,Khá tốt,Sau Đại Học,Sau Đại Học,Kinh doanh,Khác,Tốt,Tốt,Có,Có,Có,Chưa bao giờ,Không,Có,Có,"Tôi không dùng thường xuyên, ít hơn 30' mỗi ngày",Rất tốt,Rất tốt,Không,Chưa tốt,Trung Bình,Có,6,FALSE
20,Nữ,Ngành Quản trị Sự kiện,Không,2.9,Thấp,1,Khác,Tiếng Việt,Tốt,Đại Học,Đại Học,Nghỉ Hưu,Lao động tự do,Không tốt,Tốt,Không,Không,Không,Có,Có,Có,Không,Trung bình 10 - 30 phút tôi kiểm tra một lần,Rất tốt,Chưa hài lòng,Có,Tốt,Còn thấp,Có,4,FALSE
19,Nam,"Chương trình Liên kết Du học Hoa Kỳ 2+2 với Đại học Purdue, Calumet",Có Chuyển Khi Hết Năm 1,3.8,Cao,5,Kinh,Tiếng Việt,Không tốt,Sau Đại Học,Đại Học,Nghỉ Hưu,Lao động tự do,Không tốt,Tốt,Có,Có,Không,Có,Không,Có,Không,Nhiều hơn 2 tiếng,Chưa tốt,Tốt,Không,Tốt,Cao,Có,5,FALSE
20,Nữ,Ngành Du lịch,Có Chuyển Khi Hết Năm 1,2.8,Cao,4,Kinh,Tiếng Việt,Tốt,Đại Học,Cao Đẳng,Khác,Nghỉ Hưu,Tốt,Tốt,Không,Có,Không,Chưa bao giờ,Có,Không,Có,Trung bình 10 - 30 phút tôi kiểm tra một lần,Rất tốt,Chưa hài lòng,Không,Chưa tốt,Trung Bình,Có,1,TRUE
19,Nữ,Ngành Tài chính-Ngân hàng (PSU),Không,3.1,Thấp,6,Khác,Khác,Không tốt,Đại Học,Cao Đẳng,Kinh doanh,Nội trợ,Tốt,Không tốt,Không,Không,Có,Có,Không,Không,Không,Trung bình 10 - 30 phút tôi kiểm tra một lần,Rất tốt,Rất tốt,Có,Chưa tốt,Cao,Không,0,FALSE
18,Nam,Chương trình Liên kết Du học Hoa Kỳ ASU 2+2,Có Chuyển Khi Hết Năm 1,1.9,Thấp,4,Khác,Tiếng Việt,Tốt,Sau Đại Học,Sau Đại Học,Công chức nhà nước,Công chức nhà nước,Không tốt,Không tốt,Có,Không,Có,Chưa bao giờ,Có,Không,Có,"Tôi không dùng thường xuyên, ít hơn 30' mỗi ngày",Rất tốt,Tốt,Không,Chưa tốt,Trung Bình,Không,0,FALSE
19,Nam,Ngành Kiểm toán,Có Chuyển Khi Hết Năm 1,2.4,Thấp,7,Kinh,Tiếng Việt,Không tốt,Đại Học,Sau Đại Học,Nội trợ,Khác,Không tốt,Không tốt,Có,Không,Không,Có,Không,Không,Không,Trung bình 10 - 30 phút tôi kiểm tra một lần,Chưa tốt,Tốt,Có,Tốt,Trung Bình,Có,1,FALSE
19,Nam,Ngành Hệ thống Thông tin Quản lý (CMU),Không,1.3,Thấp,9,Khác,Tiếng Anh,Khá tốt,Cao Đẳng,Sau Đại Học,Nội trợ,Nghỉ Hưu,Không tốt,Tốt,Không,Có,Không,Chưa bao giờ,Không,Không,Có,Nhiều hơn 2 tiếng,Chưa tốt,Chưa hài lòng,Có,Chưa tốt,Trung Bình,Có,5,FALSE
18,Nam,Ngành Kiến trúc,Có Chuyển Khi Hết Năm 1,2.8,Thấp,3,Kinh,Tiếng Việt,Tốt,Sau Đại Học,Sau Đại Học,Nghỉ Hưu,Nghỉ Hưu,Không tốt,Tốt,Có,Không,Có,Chưa bao giờ,Có,Có,Không,"Tôi không dùng thường xuyên, ít hơn 30' mỗi ngày",Rất tốt,Rất tốt,Có,Chưa tốt,Còn thấp,Có,7,FALSE
20,Nam,Ngành Khoa học máy tính,Có Chuyển Khi Nhập Học,1.6,Cao,5,Khác,Tiếng Anh,Khá tốt,Cao Đẳng,Sau Đại Học,Công chức nhà nước,Nghỉ Hưu,Không tốt,Tốt,Không,Không,Có,Chưa bao giờ,Có,Không,Có,Ít hơn 2 tiếng,Tốt,Rất tốt,Không,Tốt,Trung Bình,Không,0,FALSE
18,Nam,Ngành Kiến trúc (CSU),Có Chuyển Khi Nhập Học,1.9,Cao,4,Kinh,Tiếng Việt,Tốt,Đại Học,Cao Đẳng,Nội trợ,Lao động tự do,Tốt,Tốt,Có,Không,Không,Chưa bao giờ,Có,Có,Có,Trung bình 10 - 30 phút tôi kiểm tra một lần,Chưa tốt,Tốt,Có,Chưa tốt,Trung Bình,Không,0,FALSE
18,Nam,Ngành Công nghệ Sinh học,Không,2.1,Thấp,4,Khác,Khác,Không tốt,Sau Đại Học,Cao Đẳng,Nghỉ Hưu,Lao động tự do,Không tốt,Tốt,Có,Không,Có,Có,Có,Có,Có,"Tôi không dùng thường xuyên, ít hơn 30' mỗi ngày",Rất tốt,Rất tốt,Có,Tốt,Cao,Có,4,FALSE
18,Nam,Ngành Thương mại Điện tử,Không,3.3,Cao,1,Kinh,Tiếng Việt,Khá tốt,Sau Đại Học,Cao Đẳng,Lao động tự do,Nội trợ,Tốt,Tốt,Không,Không,Không,Có,Không,Có,Không,Ít hơn 2 tiếng,Chưa tốt,Rất tốt,Không,Tốt,Còn thấp,Không,0,FALSE
20,Nữ,Ngành Kỹ thuật Y sinh,Có Chuyển Khi Hết Năm 1,2.8,Thấp,6,Kinh,Tiếng Việt,Không tốt,Đại Học,Thấp hơn,Lao động tự do,Kinh doanh,Tốt,Tốt,Không,Không,Có,Chưa bao giờ,Có,Không,Không,Nhiều hơn 2 tiếng,Chưa tốt,Rất tốt,Có,Chưa tốt,Trung Bình,Có,4,FALSE
20,Nữ,Ngành Điều dưỡng,Không,3.6,Thấp,6,Kinh,Tiếng Việt,Khá tốt,Sau Đại Học,Cao Đẳng,Công chức nhà nước,Nghỉ Hưu,Tốt,Không tốt,Không,Không,Có,Có,Có,Có,Có,Nhiều hơn 2 tiếng,Tốt,Chưa hài lòng,Có,Chưa tốt,Còn thấp,Không,0,TRUE
20,Nữ,Ngành Quản trị Kinh doanh KEUKA,Có Chuyển Khi Nhập Học,2.9,Thấp,6,Kinh,Tiếng Việt,Không tốt,Thấp hơn,Sau Đại Học,Nội trợ,Nghỉ Hưu,Tốt,Tốt,Có,Không,Có,Chưa bao giờ,Không,Không,Có,"Tôi không dùng thường xuyên, ít hơn 30' mỗi ngày",Tốt,Chưa hài lòng,Không,Chưa tốt,Trung Bình,Có,2,FALSE
20,Nam,Ngành Kỹ thuật Xây dựng (CSU),Có Chuyển Khi Hết Năm 1,3.3,Thấp,2,Kinh,Tiếng Việt,Khá tốt,Thấp hơn,Đại Học,Nghỉ Hưu,Nội trợ,Tốt,Không tốt,Có,Không,Không,Có,Có,Có,Có,Ít hơn 2 tiếng,Rất tốt,Tốt,Có,Tốt,Cao,Không,0,FALSE
18,Nữ,Ngành Công nghệ Kỹ thuật Điện - Điện tử,Không,3.7,Thấp,1,Kinh,Tiếng Việt,Tốt,Thấp hơn,Đại Học,Nghỉ Hưu,Khác,Không tốt,Tốt,Không,Không,Không,Có,Có,Có,Có,"Tôi không dùng thường xuyên, ít hơn 30' mỗi ngày",Chưa tốt,Chưa hài lòng,Không,Chưa tốt,Cao,Có,5,TRUE
18,Nam,Ngành Quản trị Dịch vụ Du lịch và Lữ hành,Có Chuyển Khi Nhập Học,3.7,Cao,6,Khác,Khác,Không tốt,Cao Đẳng,Sau Đại Học,Nội trợ,Lao động tự do,Tốt,Tốt,Có,Có,Không,Chưa bao giờ,Có,Không,Không,Ít hơn 2 tiếng,Tốt,Rất tốt,Không,Chưa tốt,Cao,Có,7,FALSE
19,Nam,Ngành Quản trị Kinh doanh (PSU),Có Chuyển Khi Hết Năm 1,2.3,Thấp,5,Khác,Tiếng Anh,Khá tốt,Sau Đại Học,Sau Đại Học,Khác,Nghỉ Hưu,Tốt,Tốt,Có,Không,Có,Có,Không,Có,Không,"Tôi không dùng thường xuyên, ít hơn 30' mỗi ngày",Rất tốt,Chưa hài lòng,Không,Chưa tốt,Trung Bình,Có,5,FALSE
20,Nữ,Ngành Thiết kế Đồ họa,Có Chuyển Khi Nhập Học,2.2,Thấp,4,Khác,Khác,Khá tốt,Sau Đại Học,Đại Học,Nghỉ Hưu,Khác,Tốt,Tốt,Có,Có,Không,Chưa bao giờ,Có,Có,Không,"Tôi không dùng thường xuyên, ít hơn 30' mỗi ngày",Tốt,Rất tốt,Không,Chưa tốt,Trung Bình,Không,0,FALSE
19,Nam,Ngành Khoa học dữ liệu,Có Chuyển Khi Nhập Học,2.9,Cao,2,Khác,Tiếng Việt,Không tốt,Đại Học,Cao Đẳng,Kinh doanh,Công chức nhà nước,Tốt,Không tốt,Có,Có,Có,Chưa bao giờ,Không,Có,Có,"Tôi không dùng thường xuyên, ít hơn 30' mỗi ngày",Tốt,Rất tốt,Không,Chưa tốt,Cao,Có,7,TRUE
18,Nam,Ngành Quan hệ Quốc tế,Có Chuyển Khi Hết Năm 1,4,Thấp,7,Khác,Tiếng Việt,Không tốt,Cao Đẳng,Cao Đẳng,Lao động tự do,Lao động tự do,Tốt,Không tốt,Có,Không,Không,Có,Có,Không,Có,"Tôi không dùng thường xuyên, ít hơn 30' mỗi ngày",Rất tốt,Rất tốt,Không,Chưa tốt,Cao,Không,0,TRUE
20,Nam,Ngành Kỹ thuật Xây dựng Công trình Giao thông,Có Chuyển Khi Nhập Học,3.6,Cao,5,Khác,Tiếng Việt,Không tốt,Đại Học,Đại Học,Nghỉ Hưu,Kinh doanh,Tốt,Tốt,Không,Không,Có,Chưa bao giờ,Không,Không,Có,Nhiều hơn 2 tiếng,Tốt,Chưa hài lòng,Không,Chưa tốt,Còn thấp,Có,3,FALSE
18,Nữ,Ngành Truyền thông đa phương tiện,Có Chuyển Khi Hết Năm 1,1.7,Thấp,2,Kinh,Tiếng Việt,Không tốt,Đại Học,Đại Học,Kinh doanh,Kinh doanh,Không tốt,Tốt,Có,Có,Không,Chưa bao giờ,Có,Có,Có,Trung bình 10 - 30 phút tôi kiểm tra một lần,Rất tốt,Chưa hài lòng,Không,Chưa tốt,Trung Bình,Có,4,TRUE
20,Nam,Chương trình Liên kết Du học Hoa Kỳ LCCC 1+1+2,Có Chuyển Khi Hết Năm 1,1.7,Cao,4,Kinh,Tiếng Việt,Khá tốt,Cao Đẳng,Sau Đại Học,Công chức nhà nước,Công chức nhà nước,Tốt,Tốt,Có,Có,Có,Chưa bao giờ,Không,Có,Không,Ít hơn 2 tiếng,Rất tốt,Chưa hài lòng,Có,Chưa tốt,Cao,Không,0,TRUE
20,Nữ,Ngành Luật Kinh tế,Không,3.9,Thấp,6,Khác,Tiếng Việt,Khá tốt,Cao Đẳng,Đại Học,Kinh doanh,Khác,Không tốt,Không tốt,Không,Không,Không,Có,Không,Không,Không,Trung bình 10 - 30 phút tôi kiểm tra một lần,Tốt,Chưa hài lòng,Có,Tốt,Cao,Không,0,FALSE
19,Nam,Ngành Thương mại Điện tử,Không,3.7,Cao,6,Kinh,Tiếng Việt,Tốt,Thấp hơn,Đại Học,Nghỉ Hưu,Khác,Tốt,Tốt,Không,Có,Không,Có,Không,Không,Không,Trung bình 10 - 30 phút tôi kiểm tra một lần,Chưa tốt,Chưa hài lòng,Không,Tốt,Trung Bình,Không,0,FALSE
18,Nữ,Ngành Khoa học Máy tính TROY,Có Chuyển Khi Nhập Học,1.7,Thấp,1,Khác,Tiếng Anh,Không tốt,Đại Học,Đại Học,Kinh doanh,Kinh doanh,Tốt,Tốt,Không,Có,Có,Chưa bao giờ,Không,Không,Có,Trung bình 10 - 30 phút tôi kiểm tra một lần,Rất tốt,Chưa hài lòng,Có,Tốt,Cao,Có,3,FALSE
20,Nữ,Ngành Dược,Có Chuyển Khi Nhập Học,3.9,Cao,3,Kinh,Tiếng Việt,Tốt,Đại Học,Thấp hơn,Nội trợ,Lao động tự do,Không tốt,Tốt,Có,Có,Có,Có,Không,Không,Không,Nhiều hơn 2 tiếng,Chưa tốt,Chưa hài lòng,Không,Chưa tốt,Trung Bình,Có,3,TRUE
19,Nữ,Ngành Hệ thống Thông tin Quản lý (CMU),Không,2.9,Thấp,8,Khác,Tiếng Anh,Khá tốt,Sau Đại Học,Cao Đẳng,Nội trợ,Kinh doanh,Tốt,Tốt,Không,Không,Có,Chưa bao giờ,Không,Có,Không,Nhiều hơn 2 tiếng,Rất tốt,Chưa hài lòng,Có,Chưa tốt,Cao,Không,0,FALSE
18,Nam,Ngành Quản trị Kinh doanh (PSU),Không,2.3,Thấp,7,Kinh,Tiếng Việt,Không tốt,Sau Đại Học,Cao Đẳng,Khác,Công chức nhà nước,Không tốt,Tốt,Có,Có,Có,Chưa bao giờ,Có,Không,Không,Trung bình 10 - 30 phút tôi kiểm tra một lần,Rất tốt,Rất tốt,Có,Chưa tốt,Trung Bình,Có,3,FALSE
18,Nam,Ngành Hệ thống Thông tin Quản lý (CMU),Không,1.7,Thấp,5,Kinh,Tiếng Việt,Tốt,Thấp hơn,Cao Đẳng,Khác,Kinh doanh,Tốt,Tốt,Không,Không,Không,Chưa bao giờ,Có,Có,Có,"Tôi không dùng thường xuyên, ít hơn 30' mỗi ngày",Rất tốt,Tốt,Có,Chưa tốt,Trung Bình,Không,0,FALSE
20,Nữ,Ngành Truyền thông đa phương tiện,Có Chuyển Khi Hết Năm 1,2.6,Thấp,2,Kinh,Tiếng Việt,Khá tốt,Đại Học,Thấp hơn,Lao động tự do,Khác,Tốt,Tốt,Không,Có,Không,Có,Có,Có,Không,"Tôi không dùng thường xuyên, ít hơn 30' mỗi ngày",Chưa tốt,Tốt,Không,Tốt,Cao,Có,2,TRUE
20,Nữ,Chương trình Liên kết Du học MC 2+2,Không,2.4,Cao,6,Kinh,Tiếng Việt,Tốt,Cao Đẳng,Đại Học,Lao động tự do,Nội trợ,Không tốt,Không tốt,Có,Không,Không,Có,Có,Không,Có,Trung bình 10 - 30 phút tôi kiểm tra một lần,Chưa tốt,Chưa hài lòng,Không,Tốt,Cao,Có,7,FALSE
18,Nam,Chương trình Liên kết Du học Anh Quốc 3+1,Có Chuyển Khi Nhập Học,2.1,Thấp,3,Kinh,Tiếng Việt,Tốt,Cao Đẳng,Đại Học,Công chức nhà nước,Kinh doanh,Không tốt,Tốt,Không,Có,Có,Có,Không,Không,Có,Nhiều hơn 2 tiếng,Rất tốt,Tốt,Không,Tốt,Cao,Không,0,TRUE
18,Nữ,Ngành Thương mại Điện tử,Có Chuyển Khi Nhập Học,1.1,Cao,9,Khác,Khác,Không tốt,Đại Học,Thấp hơn,Lao động tự do,Lao động tự do,Không tốt,Tốt,Không,Có,Có,Chưa bao giờ,Có,Có,Không,Trung bình 10 - 30 phút tôi kiểm tra một lần,Rất tốt,Tốt,Không,Tốt,Trung Bình,Không,0,TRUE
20,Nữ,Ngành Luật,Có Chuyển Khi Hết Năm 1,2,Thấp,1,Khác,Tiếng Anh,Không tốt,Cao Đẳng,Cao Đẳng,Nội trợ,Khác,Tốt,Tốt,Có,Có,Không,Chưa bao giờ,Không,Không,Có,"Tôi không dùng thường xuyên, ít hơn 30' mỗi ngày",Chưa tốt,Chưa hài lòng,Không,Chưa tốt,Cao,Không,0,FALSE
19,Nam,Ngành Kỹ thuật Điện,Không,3.8,Thấp,9,Khác,Tiếng Việt,Không tốt,Thấp hơn,Cao Đẳng,Nội trợ,Nội trợ,Tốt,Không tốt,Có,Không,Có,Có,Có,Có,Không,"Tôi không dùng thường xuyên, ít hơn 30' mỗi ngày",Rất tốt,Tốt,Không,Tốt,Trung Bình,Không,0,FALSE
19,Nữ,Ngành Khoa học máy tính,Không,4,Thấp,7,Khác,Tiếng Anh,Không tốt,Cao Đẳng,Đại Học,Kinh doanh,Nghỉ Hưu,Tốt,Không tốt,Có,Có,Có,Chưa bao giờ,Không,Không,Không,Ít hơn 2 tiếng,Rất tốt,Chưa hài lòng,Không,Tốt,Trung Bình,Không,0,FALSE
19,Nữ,Ngành Kế toán,Không,1.4,Cao,5,Kinh,Tiếng Việt,Khá tốt,Đại Học,Thấp hơn,Lao động tự do,Nghỉ Hưu,Không tốt,Tốt,Không,Không,Có,Có,Có,Có,Không,"Tôi không dùng thường xuyên, ít hơn 30' mỗi ngày",Rất tốt,Tốt,Có,Tốt,Còn thấp,Có,3,TRUE
18,Nữ,Chương trình Liên kết Du học Hoa Kỳ ASU 2+2,Không,3.5,Cao,2,Kinh,Tiếng Việt,Khá tốt,Cao Đẳng,Sau Đại Học,Công chức nhà nước,Công chức nhà nước,Không tốt,Không tốt,Không,Có,Có,Chưa bao giờ,Có,Có,Có,Nhiều hơn 2 tiếng,Tốt,Tốt,Có,Chưa tốt,Còn thấp,Có,2,TRUE
19,Nam,Ngành Kiến trúc Nội thất,Không,3.2,Cao,7,Khác,Tiếng Việt,Khá tốt,Đại Học,Đại Học,Nội trợ,Lao động tự do,Không tốt,Không tốt,Không,Không,Có,Chưa bao giờ,Không,Có,Có,Ít hơn 2 tiếng,Tốt,Chưa hài lòng,Không,Tốt,Trung Bình,Có,5,TRUE
19,Nữ,Ngành Quan hệ Công chúng,Có Chuyển Khi Nhập Học,3.2,Cao,5,Kinh,Tiếng Việt,Không tốt,Đại Học,Đại Học,Lao động tự do,Lao động tự do,Không tốt,Không tốt,Có,Không,Không,Có,Không,Có,Có,Ít hơn 2 tiếng,Chưa tốt,Tốt,Có,Tốt,Cao,Không,0,TRUE
20,Nữ,Ngành Ngôn ngữ Trung Quốc,Không,3.9,Cao,4,Kinh,Tiếng Việt,Khá tốt,Thấp hơn,Sau Đại Học,Công chức nhà nước,Nghỉ Hưu,Tốt,Tốt,Có,Không,Có,Chưa bao giờ,Không,Không,Không,Ít hơn 2 tiếng,Rất tốt,Tốt,Không,Tốt,Cao,Không,0,FALSE
19,Nam,Ngành Quản trị Kinh doanh (PSU),Có Chuyển Khi Nhập Học,2.9,Cao,6,Kinh,Tiếng Việt,Khá tốt,Cao Đẳng,Đại Học,Nghỉ Hưu,Lao động tự do,Không tốt,Không tốt,Có,Có,Không,Có,Không,Có,Không,Ít hơn 2 tiếng,Tốt,Chưa hài lòng,Không,Tốt,Trung Bình,Có,6,FALSE
20,Nữ,Ngành Quản trị Dịch vụ Du lịch và Lữ hành,Có Chuyển Khi Nhập Học,2.2,Thấp,1,Khác,Tiếng Việt,Khá tốt,Cao Đẳng,Đại Học,Nội trợ,Nghỉ Hưu,Tốt,Không tốt,Có,Không,Không,Có,Có,Có,Có,Ít hơn 2 tiếng,Chưa tốt,Chưa hài lòng,Không,Chưa tốt,Còn thấp,Có,5,TRUE
20,Nam,Ngành Văn học,Không,2.3,Thấp,2,Kinh,Tiếng Việt,Tốt,Sau Đại Học,Sau Đại Học,Nghỉ Hưu,Nghỉ Hưu,Không tốt,Không tốt,Không,Có,Có,Có,Có,Có,Có,Trung bình 10 - 30 phút tôi kiểm tra một lần,Chưa tốt,Rất tốt,Có,Tốt,Trung Bình,Có,4,TRUE
19,Nữ,Chương trình Liên kết Du học MC 2+2,Không,1.6,Thấp,4,Khác,Tiếng Anh,Khá tốt,Thấp hơn,Sau Đại Học,Công chức nhà nước,Nội trợ,Tốt,Tốt,Có,Không,Không,Có,Không,Không,Không,Ít hơn 2 tiếng,Rất tốt,Tốt,Không,Chưa tốt,Trung Bình,Có,1,FALSE
19,Nam,Ngành An toàn Thông tin (CMU),Có Chuyển Khi Hết Năm 1,1.4,Thấp,7,Khác,Tiếng Việt,Tốt,Thấp hơn,Sau Đại Học,Nội trợ,Kinh doanh,Không tốt,Không tốt,Có,Không,Có,Chưa bao giờ,Có,Có,Có,Ít hơn 2 tiếng,Chưa tốt,Rất tốt,Có,Tốt,Cao,Có,7,TRUE
19,Nam,Ngành Kiến trúc (CSU),Không,1.8,Cao,6,Khác,Tiếng Việt,Khá tốt,Sau Đại Học,Thấp hơn,Nội trợ,Nội trợ,Tốt,Không tốt,Có,Không,Không,Có,Không,Không,Có,"Tôi không dùng thường xuyên, ít hơn 30' mỗi ngày",Rất tốt,Chưa hài lòng,Có,Tốt,Còn thấp,Không,0,FALSE
18,Nữ,Ngành Thiết kế Đồ họa,Có Chuyển Khi Nhập Học,1.6,Cao,8,Kinh,Tiếng Việt,Tốt,Thấp hơn,Đại Học,Kinh doanh,Công chức nhà nước,Tốt,Không tốt,Có,Có,Không,Có,Không,Có,Có,Ít hơn 2 tiếng,Chưa tốt,Rất tốt,Không,Tốt,Trung Bình,Có,6,FALSE
18,Nam,Ngành Công nghệ Kỹ thuật Môi trường,Có Chuyển Khi Nhập Học,2,Thấp,7,Khác,Khác,Tốt,Cao Đẳng,Sau Đại Học,Nghỉ Hưu,Nghỉ Hưu,Tốt,Tốt,Có,Có,Không,Chưa bao giờ,Có,Có,Có,Trung bình 10 - 30 phút tôi kiểm tra một lần,Rất tốt,Chưa hài lòng,Có,Tốt,Còn thấp,Có,3,FALSE
18,Nam,Ngành Kiến trúc,Không,3.1,Cao,1,Kinh,Tiếng Việt,Tốt,Cao Đẳng,Cao Đẳng,Nghỉ Hưu,Kinh doanh,Tốt,Tốt,Có,Không,Không,Có,Có,Có,Không,Ít hơn 2 tiếng,Chưa tốt,Tốt,Không,Tốt,Trung Bình,Có,5,TRUE
18,Nữ,Ngành Quan hệ Công chúng,Có Chuyển Khi Nhập Học,3.7,Thấp,6,Khác,Tiếng Việt,Không tốt,Cao Đẳng,Sau Đại Học,Công chức nhà nước,Công chức nhà nước,Tốt,Không tốt,Không,Có,Không,Chưa bao giờ,Không,Có,Không,Nhiều hơn 2 tiếng,Tốt,Tốt,Có,Chưa tốt,Trung Bình,Không,0,FALSE
18,Nữ,Ngành Công nghệ Sinh học,Có Chuyển Khi Nhập Học,2.3,Thấp,4,Kinh,Tiếng Việt,Không tốt,Đại Học,Thấp hơn,Lao động tự do,Lao động tự do,Tốt,Tốt,Có,Có,Có,Chưa bao giờ,Không,Không,Có,Nhiều hơn 2 tiếng,Tốt,Tốt,Có,Chưa tốt,Cao,Không,0,FALSE
20,Nam,Ngành Truyền thông đa phương tiện,Không,2.1,Thấp,3,Khác,Tiếng Việt,Tốt,Sau Đại Học,Thấp hơn,Kinh doanh,Nội trợ,Không tốt,Không tốt,Không,Có,Không,Có,Không,Có,Không,Trung bình 10 - 30 phút tôi kiểm tra một lần,Rất tốt,Rất tốt,Không,Tốt,Trung Bình,Không,0,TRUE
